CrimeDate,CrimeCode
11/1/2016,8AV
11/1/2016,8AO
11/1/2016,8H
10/27/2016,8EO
10/23/2016,8AO
10/21/2016,8AO
10/21/2016,8AV
10/20/2016,8GV
10/15/2016,8J
10/14/2016,8H
10/13/2016,8J
10/13/2016,8BV
10/10/2016,8EO
10/10/2016,8H
10/9/2016,8H
10/9/2016,8H
10/9/2016,8H
10/8/2016,8H
10/8/2016,8BO
10/7/2016,8H
10/6/2016,8H
10/6/2016,8H
10/6/2016,8H
10/5/2016,8J
10/3/2016,8BV
10/2/2016,8H
10/1/2016,8I
9/29/2016,8H
9/29/2016,8AO
9/29/2016,8J
9/28/2016,8H
9/27/2016,8H
9/27/2016,8AV
9/27/2016,8H
9/26/2016,8H
9/23/2016,8H
9/22/2016,8H
9/21/2016,8H
9/19/2016,8H
9/18/2016,8H
9/17/2016,8J
9/17/2016,8J
9/16/2016,8H
9/15/2016,8H
9/14/2016,8J
9/12/2016,8J
9/10/2016,8H
9/9/2016,8H
9/6/2016,8H
9/4/2016,8H
9/3/2016,8H
8/28/2016,8H
8/27/2016,8H
8/24/2016,8H
8/24/2016,8AO
8/21/2016,8AV
8/19/2016,8H
8/17/2016,8I
8/15/2016,8H
8/13/2016,8AO
8/9/2016,8J
8/8/2016,8J
8/7/2016,8H
8/7/2016,8H
8/4/2016,8H
8/3/2016,8J
8/3/2016,8H
7/28/2016,8H
7/25/2016,8AO
7/25/2016,8J
7/23/2016,8AO
7/21/2016,8H
7/21/2016,8AO
7/17/2016,8H
7/17/2016,8H
7/17/2016,8H
7/14/2016,8H
7/14/2016,8H
7/14/2016,8J
7/13/2016,8H
7/13/2016,8AV
7/12/2016,8J
7/12/2016,8AO
7/12/2016,8H
7/12/2016,8J
7/9/2016,8EO
7/7/2016,8H
7/7/2016,8EO
7/3/2016,8H
7/2/2016,8J
6/30/2016,8H
6/29/2016,8H
6/29/2016,8H
6/29/2016,8H
6/28/2016,8AO
6/28/2016,8H
6/27/2016,8AO
6/27/2016,8H
6/26/2016,8J
6/25/2016,8J
6/23/2016,8H
6/22/2016,8FO
6/21/2016,8H
6/21/2016,8H
6/21/2016,8H
6/20/2016,8AO
6/20/2016,8FO
6/19/2016,8H
6/18/2016,8J
6/16/2016,8H
6/15/2016,8AO
6/15/2016,8EO
6/12/2016,8BO
6/11/2016,8H
6/10/2016,8J
6/9/2016,8CV
6/6/2016,8H
6/5/2016,8BO
6/5/2016,8GV
6/3/2016,8H
6/2/2016,8H
6/1/2016,8H
5/31/2016,8AV
5/31/2016,8J
5/31/2016,8AO
5/30/2016,8H
5/30/2016,8AO
5/30/2016,8H
5/30/2016,8J
5/29/2016,8AO
5/28/2016,8H
5/26/2016,8EV
5/24/2016,8H
5/24/2016,8EV
5/24/2016,8J
5/23/2016,8EV
5/22/2016,8H
5/21/2016,8BV
5/19/2016,8J
5/16/2016,8FO
5/16/2016,8BV
5/15/2016,8AO
5/15/2016,8BV
5/12/2016,8H
5/8/2016,8H
5/7/2016,8H
5/5/2016,8H
5/2/2016,8J
5/2/2016,8H
4/28/2016,8H
4/27/2016,8H
4/27/2016,8H
4/26/2016,8H
4/26/2016,8H
4/24/2016,8H
4/24/2016,8H
4/23/2016,8H
4/22/2016,8J
4/21/2016,8AV
4/21/2016,8H
4/21/2016,8J
4/20/2016,8FO
4/19/2016,8EO
4/17/2016,8AO
4/17/2016,8EO
4/16/2016,8H
4/15/2016,8H
4/13/2016,8AO
4/12/2016,8AO
4/12/2016,8H
4/10/2016,8H
4/9/2016,8H
4/7/2016,8EO
4/6/2016,8H
4/5/2016,8H
4/4/2016,8H
3/30/2016,8H
3/29/2016,8H
3/28/2016,8H
3/27/2016,8H
3/26/2016,8H
3/22/2016,8H
3/20/2016,8H
3/18/2016,8GO
3/16/2016,8H
3/14/2016,8AO
3/12/2016,8H
3/10/2016,8H
3/10/2016,8FO
3/8/2016,8J
3/6/2016,8AO
3/2/2016,8J
2/29/2016,8J
2/23/2016,8H
2/23/2016,8BO
2/23/2016,8H
2/22/2016,8AO
2/22/2016,8AO
2/19/2016,8H
2/19/2016,8J
2/17/2016,8H
2/14/2016,8AO
2/10/2016,8J
2/9/2016,8AV
2/2/2016,8H
2/1/2016,8FO
1/31/2016,8H
1/25/2016,8H
1/18/2016,8H
1/16/2016,8AO
1/16/2016,8H
1/15/2016,8H
1/15/2016,8J
1/12/2016,8H
1/9/2016,8H
1/8/2016,8H
1/7/2016,8H
1/7/2016,8AO
1/5/2016,8H
1/1/2016,8H
1/1/2016,8AO
12/31/2015,8H
12/31/2015,8AV
12/30/2015,8AO
12/24/2015,8AO
12/23/2015,8H
12/17/2015,8H
12/14/2015,8J
12/13/2015,8AO
12/12/2015,8H
12/12/2015,8GV
12/12/2015,8J
12/12/2015,8J
12/11/2015,8BO
12/10/2015,8AO
12/6/2015,8H
12/4/2015,8H
12/4/2015,8AO
12/2/2015,8GO
12/2/2015,8GO
12/2/2015,8GO
11/30/2015,8H
11/28/2015,8H
11/28/2015,8H
11/20/2015,8H
11/18/2015,8AV
11/18/2015,8H
11/17/2015,8H
11/17/2015,8AO
11/15/2015,8H
11/14/2015,8H
11/12/2015,8AO
11/11/2015,8J
11/9/2015,8H
11/8/2015,8J
11/8/2015,8J
11/7/2015,8H
11/5/2015,8H
11/4/2015,8AO
11/3/2015,8H
11/2/2015,8H
11/2/2015,8H
10/31/2015,8AO
10/29/2015,8I
10/28/2015,8H
10/27/2015,8H
10/24/2015,8GO
10/23/2015,8H
10/21/2015,8H
10/21/2015,8EO
10/21/2015,8FO
10/18/2015,8H
10/17/2015,8H
10/15/2015,8H
10/14/2015,8H
10/13/2015,8J
10/13/2015,8H
10/11/2015,8H
10/8/2015,8H
10/8/2015,8H
10/7/2015,8AV
10/7/2015,8H
10/4/2015,8H
10/1/2015,8EO
10/1/2015,8H
9/27/2015,8H
9/27/2015,8AO
9/26/2015,8H
9/26/2015,8H
9/24/2015,8H
9/24/2015,8H
9/24/2015,8EO
9/24/2015,8BO
9/22/2015,8H
9/20/2015,8AV
9/20/2015,8H
9/19/2015,8H
9/18/2015,8AO
9/18/2015,8EO
9/18/2015,8H
9/18/2015,8H
9/17/2015,8H
9/17/2015,8H
9/13/2015,8H
9/9/2015,8EO
9/7/2015,8H
9/7/2015,8H
9/5/2015,8AO
9/2/2015,8H
9/2/2015,8AO
9/2/2015,8H
9/1/2015,8H
8/31/2015,8BO
8/29/2015,8AO
8/29/2015,8EO
8/28/2015,8H
8/26/2015,8H
8/25/2015,8H
8/23/2015,8GV
8/23/2015,8BO
8/22/2015,8H
8/22/2015,8AV
8/22/2015,8AO
8/19/2015,8H
8/18/2015,8FO
8/18/2015,8AO
8/15/2015,8H
8/13/2015,8FO
8/12/2015,8H
8/10/2015,8H
8/3/2015,8H
8/2/2015,8GO
7/31/2015,8AO
7/30/2015,8FO
7/30/2015,8FO
7/30/2015,8H
7/28/2015,8J
7/27/2015,8J
7/25/2015,8J
7/24/2015,8H
7/23/2015,8H
7/21/2015,8H
7/21/2015,8H
7/20/2015,8H
7/20/2015,8J
7/17/2015,8GO
7/16/2015,8H
7/16/2015,8H
7/14/2015,8H
7/14/2015,8H
7/13/2015,8CO
7/10/2015,8H
7/7/2015,8H
7/6/2015,8AO
7/6/2015,8H
7/5/2015,8H
7/5/2015,8H
7/4/2015,8H
7/4/2015,8H
7/4/2015,8H
7/4/2015,8AO
7/3/2015,8H
7/2/2015,8H
6/30/2015,8AO
6/29/2015,8H
6/27/2015,8H
6/27/2015,8AO
6/26/2015,8H
6/25/2015,8EO
6/25/2015,8BV
6/24/2015,8J
6/24/2015,8BO
6/16/2015,8J
6/13/2015,8H
6/13/2015,8CO
6/13/2015,8AO
6/12/2015,8AO
6/9/2015,8J
6/7/2015,8AO
6/7/2015,8H
6/7/2015,8AO
6/6/2015,8H
6/5/2015,8AO
6/2/2015,8AO
6/2/2015,8AO
6/1/2015,8AO
5/31/2015,8AO
5/31/2015,8AO
5/31/2015,8J
5/30/2015,8H
5/24/2015,8H
5/24/2015,8H
5/23/2015,8H
5/23/2015,8H
5/22/2015,8H
5/22/2015,8EO
5/21/2015,8J
5/20/2015,8H
5/20/2015,8J
5/20/2015,8H
5/17/2015,8H
5/12/2015,8H
5/10/2015,8AV
5/10/2015,8H
5/10/2015,8H
5/9/2015,8H
5/8/2015,8J
5/8/2015,8AO
5/8/2015,8H
5/7/2015,8J
5/6/2015,8H
5/3/2015,8FO
5/3/2015,8J
5/2/2015,8H
5/1/2015,8H
4/30/2015,8AV
4/29/2015,8EO
4/29/2015,8H
4/29/2015,8H
4/29/2015,8EO
4/28/2015,8EO
4/28/2015,8H
4/28/2015,8EV
4/28/2015,8EO
4/28/2015,8H
4/28/2015,8EO
4/28/2015,8AV
4/28/2015,8EO
4/28/2015,8EO
4/28/2015,8EO
4/28/2015,8EO
4/28/2015,8AO
4/28/2015,8H
4/28/2015,8AV
4/27/2015,8H
4/27/2015,8H
4/27/2015,8H
4/27/2015,8H
4/27/2015,8EO
4/27/2015,8EV
4/27/2015,8H
4/27/2015,8EO
4/27/2015,8EO
4/27/2015,8H
4/26/2015,8I
4/26/2015,8J
4/26/2015,8J
4/22/2015,8J
4/20/2015,8H
4/15/2015,8FO
4/13/2015,8AO
4/11/2015,8H
4/7/2015,8H
4/7/2015,8H
4/6/2015,8H
4/6/2015,8AO
4/5/2015,8H
4/5/2015,8H
3/31/2015,8H
3/31/2015,8AO
3/31/2015,8H
3/30/2015,8H
3/30/2015,8H
3/30/2015,8AO
3/28/2015,8H
3/27/2015,8H
3/24/2015,8AV
3/21/2015,8H
3/21/2015,8AO
3/19/2015,8AV
3/16/2015,8J
3/16/2015,8H
3/14/2015,8H
3/9/2015,8H
3/7/2015,8H
3/7/2015,8H
3/6/2015,8H
2/25/2015,8J
2/22/2015,8AO
2/8/2015,8EO
2/7/2015,8BO
2/6/2015,8J
2/6/2015,8BO
2/5/2015,8FO
2/5/2015,8FO
2/4/2015,8H
2/2/2015,8H
2/1/2015,8H
1/29/2015,8J
1/29/2015,8AO
1/24/2015,8H
1/24/2015,8H
1/23/2015,8H
1/20/2015,8FO
1/19/2015,8BO
1/17/2015,8H
1/15/2015,8AO
1/14/2015,8BV
1/8/2015,8H
1/8/2015,8AO
1/7/2015,8H
1/6/2015,8AO
1/3/2015,8H
1/3/2015,8H
1/1/2015,8FO
12/26/2014,8AO
12/22/2014,8AV
12/19/2014,8J
12/15/2014,8H
12/14/2014,8AO
12/14/2014,8AO
12/9/2014,8FO
12/9/2014,8FO
11/29/2014,8BO
11/29/2014,8AO
11/28/2014,8AO
11/28/2014,8J
11/28/2014,8AV
11/27/2014,8BO
11/23/2014,8H
11/23/2014,8H
11/23/2014,8H
11/22/2014,8BO
11/21/2014,8FO
11/19/2014,8J
11/19/2014,8J
11/16/2014,8AO
11/16/2014,8AO
11/16/2014,8AO
11/16/2014,8AO
11/14/2014,8H
11/12/2014,8H
11/11/2014,8AO
11/11/2014,8H
11/10/2014,8H
11/9/2014,8H
11/7/2014,8H
11/7/2014,8FO
11/5/2014,8EO
11/4/2014,8EO
10/28/2014,8H
10/28/2014,8BO
10/26/2014,8H
10/25/2014,8H
10/25/2014,8H
10/25/2014,8H
10/25/2014,8H
10/24/2014,8J
10/23/2014,8AO
10/20/2014,8H
10/19/2014,8AO
10/19/2014,8H
10/16/2014,8BO
10/15/2014,8AO
10/13/2014,8H
10/13/2014,8H
10/10/2014,8GO
10/8/2014,8AV
10/8/2014,8H
10/7/2014,8J
10/7/2014,8J
10/5/2014,8AV
10/5/2014,8AO
10/3/2014,8H
9/29/2014,8H
9/25/2014,8H
9/25/2014,8BO
9/25/2014,8BO
9/25/2014,8BO
9/25/2014,8BO
9/25/2014,8BO
9/25/2014,8BO
9/23/2014,8AV
9/22/2014,8H
9/21/2014,8AO
9/15/2014,8J
9/14/2014,8J
9/13/2014,8H
9/12/2014,8CO
9/9/2014,8H
9/8/2014,8H
9/8/2014,8J
8/29/2014,8H
8/28/2014,8AO
8/27/2014,8H
8/27/2014,8H
8/26/2014,8AV
8/26/2014,8H
8/26/2014,8H
8/24/2014,8AO
8/24/2014,8H
8/21/2014,8AV
8/17/2014,8H
8/16/2014,8GO
8/14/2014,8J
8/11/2014,8CO
8/11/2014,8H
8/10/2014,8H
8/6/2014,8H
8/5/2014,8H
8/4/2014,8BO
8/1/2014,8J
8/1/2014,8J
7/31/2014,8BO
7/31/2014,8H
7/30/2014,8CO
7/28/2014,8J
7/26/2014,8H
7/26/2014,8AV
7/24/2014,8H
7/24/2014,8J
7/21/2014,8H
7/21/2014,8H
7/20/2014,8H
7/20/2014,8AV
7/20/2014,8J
7/18/2014,8AV
7/11/2014,8J
7/10/2014,8H
7/10/2014,8H
7/7/2014,8FO
7/6/2014,8J
7/6/2014,8H
7/4/2014,8H
7/3/2014,8H
7/3/2014,8FV
6/29/2014,8EV
6/27/2014,8AV
6/23/2014,8H
6/23/2014,8J
6/17/2014,8H
6/16/2014,8H
6/14/2014,8J
6/14/2014,8FO
6/12/2014,8H
6/11/2014,8FO
6/8/2014,8H
6/4/2014,8H
6/3/2014,8H
6/1/2014,8H
5/31/2014,8J
5/31/2014,8AO
5/29/2014,8H
5/27/2014,8H
5/27/2014,8AO
5/27/2014,8AV
5/27/2014,8H
5/26/2014,8H
5/25/2014,8H
5/24/2014,8H
5/23/2014,8FO
5/23/2014,8AO
5/20/2014,8AO
5/19/2014,8H
5/17/2014,8H
5/17/2014,8AO
5/16/2014,8AV
5/12/2014,8AO
5/11/2014,8H
5/8/2014,8J
5/7/2014,8AO
5/7/2014,8AO
5/6/2014,8FO
5/4/2014,8H
5/4/2014,8AO
5/1/2014,8AO
4/28/2014,8H
4/28/2014,8H
4/27/2014,8AO
4/27/2014,8H
4/26/2014,8FO
4/22/2014,8BO
4/22/2014,8FO
4/22/2014,8H
4/21/2014,8H
4/20/2014,8J
4/19/2014,8H
4/19/2014,8H
4/19/2014,8AO
4/19/2014,8H
4/16/2014,8H
4/14/2014,8AO
4/13/2014,8H
4/13/2014,8H
4/11/2014,8H
4/8/2014,8H
4/7/2014,8H
4/6/2014,8AO
4/3/2014,8J
3/30/2014,8AO
3/28/2014,8GO
3/27/2014,8FO
3/23/2014,8H
3/22/2014,8H
3/5/2014,8J
2/23/2014,8H
2/21/2014,8AO
2/14/2014,8AO
2/13/2014,8H
2/10/2014,8H
2/8/2014,8H
2/7/2014,8J
2/7/2014,8J
2/6/2014,8H
2/4/2014,8AV
1/31/2014,8H
1/26/2014,8H
1/26/2014,8H
1/24/2014,8H
1/23/2014,8H
1/18/2014,8AV
1/18/2014,8AV
1/18/2014,8AV
1/16/2014,8H
1/16/2014,8BV
1/15/2014,8H
1/15/2014,8AO
1/14/2014,8AO
1/13/2014,8H
1/6/2014,8FO
1/6/2014,8FO
12/29/2013,8H
12/26/2013,8H
12/23/2013,8H
12/20/2013,8J
12/18/2013,8CV
12/16/2013,8AO
12/16/2013,8AO
12/15/2013,8H
12/14/2013,8H
12/13/2013,8AO
12/13/2013,8AO
12/12/2013,8H
12/10/2013,8AO
12/9/2013,8H
12/5/2013,8H
12/4/2013,8H
12/3/2013,8FO
12/1/2013,8H
11/30/2013,8EO
11/23/2013,8AO
11/20/2013,8FO
11/19/2013,8H
11/15/2013,8H
11/14/2013,8AO
11/14/2013,8AO
11/12/2013,8FO
11/11/2013,8FO
11/11/2013,8FO
11/8/2013,8BO
11/7/2013,8H
11/7/2013,8FO
11/7/2013,8H
11/6/2013,8AO
11/6/2013,8FO
11/2/2013,8H
11/2/2013,8H
10/31/2013,8H
10/30/2013,8AO
10/29/2013,8H
10/28/2013,8FO
10/26/2013,8BO
10/26/2013,8BO
10/26/2013,8BO
10/26/2013,8AO
10/25/2013,8FO
