CrimeDate,CrimeCode
10/25/2013,8FO
10/25/2013,8AO
10/25/2013,8AO
10/24/2013,8AO
10/22/2013,8H
10/21/2013,8EO
10/21/2013,8FO
10/19/2013,8H
10/16/2013,8H
10/16/2013,8DO
10/16/2013,8H
10/15/2013,8AO
10/13/2013,8FO
10/13/2013,8AO
10/9/2013,8BO
10/7/2013,8H
10/7/2013,8BO
10/5/2013,8J
10/3/2013,8EO
10/2/2013,8AO
10/2/2013,8H
9/29/2013,8AO
9/28/2013,8AO
9/27/2013,8BO
9/25/2013,8H
9/23/2013,8H
9/21/2013,8H
9/21/2013,8H
9/20/2013,8AO
9/20/2013,8J
9/15/2013,8FO
9/14/2013,8H
9/14/2013,8FO
9/13/2013,8H
9/11/2013,8BO
9/10/2013,8H
9/9/2013,8H
9/8/2013,8H
9/5/2013,8BO
9/2/2013,8AO
9/2/2013,8H
9/1/2013,8H
8/30/2013,8BO
8/29/2013,8H
8/26/2013,8AV
8/26/2013,8H
8/26/2013,8H
8/25/2013,8AO
8/24/2013,8AO
8/24/2013,8J
8/23/2013,8H
8/22/2013,8H
8/22/2013,8AO
8/21/2013,8H
8/20/2013,8H
8/18/2013,8H
8/17/2013,8H
8/11/2013,8H
8/7/2013,8J
8/3/2013,8BV
8/2/2013,8AV
8/2/2013,8AV
7/30/2013,8H
7/30/2013,8H
7/29/2013,8H
7/28/2013,8AO
7/28/2013,8J
7/28/2013,8H
7/26/2013,8H
7/25/2013,8H
7/25/2013,8J
7/24/2013,8AO
7/22/2013,8FO
7/21/2013,8AO
7/20/2013,8BO
7/20/2013,8BO
7/19/2013,8J
7/18/2013,8H
7/17/2013,8H
7/14/2013,8H
7/11/2013,8J
7/11/2013,8H
7/10/2013,8AO
7/10/2013,8H
7/10/2013,8H
7/7/2013,8H
7/6/2013,8AO
7/2/2013,8EO
7/2/2013,8BO
6/29/2013,8H
6/28/2013,8BO
6/25/2013,8H
6/24/2013,8H
6/23/2013,8H
6/22/2013,8H
6/22/2013,8H
6/19/2013,8H
6/19/2013,8H
6/17/2013,8BO
6/17/2013,8H
6/16/2013,8H
6/16/2013,8BO
6/16/2013,8BO
6/15/2013,8BO
6/15/2013,8J
6/15/2013,8J
6/14/2013,8H
6/14/2013,8AO
6/12/2013,8BO
6/11/2013,8FO
6/10/2013,8H
6/10/2013,8BO
6/10/2013,8CO
6/9/2013,8AO
6/7/2013,8H
6/6/2013,8H
6/5/2013,8J
6/4/2013,8J
6/3/2013,8AV
5/31/2013,8EV
5/31/2013,8H
5/31/2013,8CO
5/29/2013,8EO
5/29/2013,8J
5/29/2013,8J
5/28/2013,8H
5/27/2013,8H
5/25/2013,8AO
5/25/2013,8J
5/25/2013,8H
5/23/2013,8AO
5/22/2013,8AO
5/22/2013,8EO
5/21/2013,8AO
5/17/2013,8H
5/13/2013,8H
5/13/2013,8EO
5/13/2013,8EO
5/11/2013,8J
5/10/2013,8BO
5/8/2013,8GV
5/7/2013,8FO
5/7/2013,8H
5/6/2013,8FO
5/2/2013,8BV
4/29/2013,8H
4/29/2013,8BO
4/28/2013,8J
4/25/2013,8FO
4/25/2013,8FO
4/25/2013,8FO
4/25/2013,8FO
4/23/2013,8FO
4/23/2013,8FO
4/22/2013,8H
4/20/2013,8EO
4/19/2013,8AO
4/19/2013,8H
4/14/2013,8BO
4/14/2013,8J
4/14/2013,8H
4/13/2013,8H
4/10/2013,8FO
4/9/2013,8EO
4/9/2013,8J
4/8/2013,8FO
4/8/2013,8EV
4/8/2013,8H
4/3/2013,8I
4/3/2013,8I
4/2/2013,8AO
3/31/2013,8H
3/30/2013,8H
3/29/2013,8H
3/28/2013,8H
3/27/2013,8FO
3/19/2013,8FO
3/17/2013,8H
3/12/2013,8FO
3/12/2013,8J
3/11/2013,8BO
3/11/2013,8H
3/10/2013,8H
3/9/2013,8H
3/9/2013,8AO
3/4/2013,8H
3/3/2013,8H
3/3/2013,8H
3/2/2013,8H
3/1/2013,8AO
3/1/2013,8AO
2/28/2013,8H
2/25/2013,8AV
2/24/2013,8H
2/23/2013,8AO
2/22/2013,8H
2/18/2013,8H
2/17/2013,8AO
2/17/2013,8H
2/14/2013,8FO
2/14/2013,8AV
2/14/2013,8H
2/12/2013,8H
2/12/2013,8FO
2/8/2013,8AO
2/2/2013,8H
2/1/2013,8H
2/1/2013,8H
1/27/2013,8H
1/26/2013,8H
1/25/2013,8AO
1/25/2013,8H
1/20/2013,8H
1/19/2013,8H
1/17/2013,8FO
1/15/2013,8AO
1/13/2013,8H
1/13/2013,8AO
1/12/2013,8J
1/11/2013,8H
1/11/2013,8H
1/11/2013,8AO
1/7/2013,8H
1/7/2013,8J
1/6/2013,8AO
1/4/2013,8H
1/2/2013,8H
1/1/2013,8H
12/31/2012,8J
12/30/2012,8H
12/30/2012,8AO
12/29/2012,8H
12/25/2012,8H
12/23/2012,8AV
12/17/2012,8H
12/15/2012,8H
12/11/2012,8J
12/6/2012,8AV
12/5/2012,8H
12/5/2012,8H
12/4/2012,8H
11/30/2012,8AO
11/28/2012,8AO
11/26/2012,8H
11/21/2012,8H
11/19/2012,8BO
11/19/2012,8H
11/17/2012,8H
11/15/2012,8AO
11/14/2012,8H
11/12/2012,8H
11/11/2012,8H
11/7/2012,8H
11/7/2012,8BO
11/5/2012,8H
11/4/2012,8CV
11/4/2012,8H
11/4/2012,8AO
11/2/2012,8H
10/25/2012,8H
10/22/2012,8H
10/16/2012,8H
10/15/2012,8H
10/12/2012,8H
10/10/2012,8AV
10/5/2012,8AV
10/5/2012,8H
9/28/2012,8BV
9/28/2012,8H
9/28/2012,8AO
9/27/2012,8BO
9/25/2012,8FO
9/24/2012,8H
9/23/2012,8AO
9/21/2012,8AO
9/21/2012,8H
9/19/2012,8BO
9/19/2012,8AO
9/19/2012,8AO
9/19/2012,8AO
9/19/2012,8BO
9/19/2012,8BO
9/19/2012,8H
9/18/2012,8H
9/15/2012,8I
9/14/2012,8H
9/11/2012,8H
9/11/2012,8H
9/8/2012,8AO
9/5/2012,8GO
9/4/2012,8H
9/1/2012,8AO
8/30/2012,8H
8/25/2012,8AV
8/23/2012,8H
8/23/2012,8H
8/22/2012,8H
8/19/2012,8H
8/19/2012,8H
8/18/2012,8H
8/17/2012,8J
8/17/2012,8J
8/17/2012,8H
8/17/2012,8J
8/17/2012,8FO
8/15/2012,8H
8/14/2012,8J
8/12/2012,8AO
8/7/2012,8FV
8/7/2012,8FV
7/31/2012,8EO
7/29/2012,8AO
7/27/2012,8H
7/27/2012,8H
7/26/2012,8H
7/26/2012,8AO
7/25/2012,8H
7/24/2012,8BO
7/20/2012,8J
7/14/2012,8AO
7/13/2012,8H
7/13/2012,8AO
7/12/2012,8H
7/11/2012,8J
7/7/2012,8H
7/3/2012,8J
7/3/2012,8H
6/27/2012,8AO
6/24/2012,8H
6/24/2012,8H
6/24/2012,8H
6/24/2012,8AV
6/23/2012,8H
6/22/2012,8AO
6/21/2012,8FO
6/21/2012,8AO
6/21/2012,8AV
6/21/2012,8CV
6/18/2012,8H
6/15/2012,8GO
6/12/2012,8AO
6/11/2012,8H
6/9/2012,8AO
6/6/2012,8H
6/4/2012,8H
6/2/2012,8AV
6/1/2012,8AO
6/1/2012,8H
5/31/2012,8AO
5/31/2012,8GO
5/29/2012,8H
5/29/2012,8EO
5/28/2012,8AO
5/24/2012,8J
5/23/2012,8H
5/23/2012,8H
5/22/2012,8EO
5/22/2012,8H
5/22/2012,8H
5/21/2012,8AO
5/21/2012,8H
5/21/2012,8AO
5/20/2012,8AV
5/19/2012,8AO
5/16/2012,8BV
5/11/2012,8J
5/7/2012,8BO
5/3/2012,8AV
4/30/2012,8J
4/29/2012,8AV
4/29/2012,8H
4/28/2012,8J
4/25/2012,8J
4/24/2012,8FO
4/24/2012,8FO
4/22/2012,8H
4/21/2012,8H
4/20/2012,8H
4/18/2012,8AO
4/18/2012,8J
4/16/2012,8FO
4/16/2012,8H
4/12/2012,8H
4/11/2012,8AV
4/7/2012,8H
4/3/2012,8H
4/2/2012,8AO
4/1/2012,8I
4/1/2012,8J
3/31/2012,8BO
3/30/2012,8H
3/28/2012,8H
3/28/2012,8J
3/27/2012,8AO
3/26/2012,8FO
3/26/2012,8AO
3/26/2012,8H
3/22/2012,8H
3/22/2012,8H
3/19/2012,8H
3/19/2012,8H
3/18/2012,8H
3/18/2012,8H
3/18/2012,8H
3/17/2012,8AO
3/16/2012,8AV
3/15/2012,8AO
3/13/2012,8H
3/13/2012,8AV
3/12/2012,8AO
3/9/2012,8H
3/8/2012,8H
3/8/2012,8H
3/6/2012,8AO
3/5/2012,8AV
3/1/2012,8BO
2/29/2012,8H
2/27/2012,8H
2/27/2012,8J
2/26/2012,8J
2/25/2012,8H
2/24/2012,8FO
2/24/2012,8H
2/22/2012,8FO
2/22/2012,8H
2/21/2012,8H
2/21/2012,8J
2/20/2012,8J
2/18/2012,8AV
2/15/2012,8J
2/15/2012,8AO
2/13/2012,8AO
2/12/2012,8H
2/11/2012,8AO
2/10/2012,8AV
2/9/2012,8H
2/8/2012,8AO
2/6/2012,8J
2/3/2012,8J
2/1/2012,8H
1/30/2012,8H
1/28/2012,8H
1/28/2012,8AV
1/28/2012,8AO
1/28/2012,8H
1/27/2012,8H
1/26/2012,8H
1/26/2012,8AO
1/26/2012,8FO
1/24/2012,8AO
1/24/2012,8AO
1/24/2012,8H
1/23/2012,8H
1/22/2012,8AO
1/21/2012,8AO
1/20/2012,8H
1/20/2012,8H
1/17/2012,8H
1/17/2012,8H
1/17/2012,8AV
1/16/2012,8BO
1/14/2012,8H
1/13/2012,8J
1/10/2012,8H
1/9/2012,8H
1/9/2012,8H
1/7/2012,8H
1/5/2012,8AO
1/1/2012,8H
1/1/2012,8EO
12/29/2011,8BO
12/28/2011,8AO
12/28/2011,8J
12/27/2011,8H
12/24/2011,8AO
12/22/2011,8FO
12/20/2011,8H
12/19/2011,8H
12/19/2011,8H
12/18/2011,8H
12/17/2011,8AO
12/15/2011,8H
12/15/2011,8H
12/15/2011,8H
12/15/2011,8H
12/14/2011,8J
12/13/2011,8AO
12/13/2011,8J
12/12/2011,8FO
12/8/2011,8FO
12/7/2011,8H
12/5/2011,8H
12/4/2011,8H
12/4/2011,8AO
12/2/2011,8FO
12/1/2011,8H
11/28/2011,8H
11/28/2011,8H
11/26/2011,8H
11/26/2011,8J
11/26/2011,8H
11/25/2011,8H
11/25/2011,8EO
11/22/2011,8H
11/22/2011,8H
11/21/2011,8FO
11/20/2011,8H
11/18/2011,8AO
11/18/2011,8AO
11/16/2011,8AO
11/16/2011,8AO
11/16/2011,8FO
11/15/2011,8H
11/14/2011,8AO
11/14/2011,8H
11/13/2011,8H
11/13/2011,8AO
11/13/2011,8BO
11/13/2011,8AO
11/13/2011,8H
11/12/2011,8AO
11/12/2011,8AO
11/12/2011,8AO
11/12/2011,8AO
11/12/2011,8GO
11/10/2011,8FV
11/9/2011,8AO
11/4/2011,8AO
11/4/2011,8GO
11/2/2011,8H
11/1/2011,8EO
11/1/2011,8H
10/31/2011,8J
10/27/2011,8H
10/26/2011,8AO
10/25/2011,8H
10/25/2011,8J
10/12/2011,8AO
10/11/2011,8H
10/10/2011,8BO
10/10/2011,8FO
10/9/2011,8H
10/9/2011,8FO
10/9/2011,8AO
10/8/2011,8AO
10/6/2011,8H
10/6/2011,8H
9/28/2011,8AO
9/27/2011,8FO
9/27/2011,8H
9/27/2011,8AO
9/26/2011,8AO
9/26/2011,8FO
9/25/2011,8BO
9/25/2011,8GV
9/23/2011,8AO
9/23/2011,8AV
9/22/2011,8FO
9/22/2011,8AO
9/22/2011,8AO
9/20/2011,8H
9/19/2011,8BO
9/17/2011,8H
9/17/2011,8H
9/16/2011,8J
9/15/2011,8AO
9/13/2011,8BO
9/12/2011,8H
9/12/2011,8H
9/10/2011,8H
9/8/2011,8H
9/7/2011,8AO
9/7/2011,8BO
9/4/2011,8H
9/3/2011,8H
9/2/2011,8H
9/2/2011,8J
9/1/2011,8CO
8/31/2011,8H
8/30/2011,8J
8/30/2011,8AO
8/29/2011,8H
8/29/2011,8BO
8/28/2011,8BO
8/26/2011,8H
8/26/2011,8I
8/25/2011,8H
8/25/2011,8H
8/25/2011,8H
8/22/2011,8AV
8/17/2011,8H
8/17/2011,8H
8/16/2011,8CO
8/15/2011,8AO
8/14/2011,8H
8/13/2011,8AV
8/13/2011,8H
8/12/2011,8AO
8/10/2011,8H
8/10/2011,8AO
8/9/2011,8AV
8/8/2011,8J
8/7/2011,8J
8/6/2011,8AV
8/5/2011,8AO
8/2/2011,8H
8/2/2011,8H
8/2/2011,8H
8/2/2011,8AO
8/1/2011,8H
8/1/2011,8AO
8/1/2011,8H
7/31/2011,8AV
7/31/2011,8AO
7/29/2011,8AO
7/28/2011,8AV
7/26/2011,8H
7/26/2011,8AO
7/25/2011,8H
7/24/2011,8H
7/23/2011,8EO
7/23/2011,8AO
7/23/2011,8AO
7/19/2011,8J
7/18/2011,8FO
7/18/2011,8CO
7/17/2011,8H
7/16/2011,8H
7/16/2011,8H
7/16/2011,8AO
7/13/2011,8J
7/13/2011,8H
7/7/2011,8H
7/6/2011,8H
7/5/2011,8H
7/5/2011,8H
7/4/2011,8H
7/2/2011,8J
7/2/2011,8EO
7/1/2011,8J
6/30/2011,8H
6/29/2011,8H
6/28/2011,8AO
6/28/2011,8AV
6/27/2011,8AO
6/26/2011,8H
6/26/2011,8H
6/26/2011,8H
6/25/2011,8EO
6/17/2011,8J
6/16/2011,8FO
6/15/2011,8H
6/12/2011,8H
6/11/2011,8J
6/11/2011,8J
6/11/2011,8J
6/11/2011,8J
6/11/2011,8J
6/11/2011,8I
6/9/2011,8J
6/7/2011,8H
6/7/2011,8AO
6/4/2011,8H
6/3/2011,8H
6/3/2011,8J
6/2/2011,8H
5/31/2011,8H
5/25/2011,8FO
5/23/2011,8J
5/22/2011,8H
5/21/2011,8H
5/21/2011,8GO
5/20/2011,8H
5/20/2011,8H
5/20/2011,8FO
5/20/2011,8AV
5/18/2011,8AO
5/17/2011,8J
5/14/2011,8H
5/13/2011,8H
5/9/2011,8FO
5/9/2011,8AO
5/4/2011,8EO
5/3/2011,8H
5/3/2011,8FO
5/1/2011,8J
4/30/2011,8H
4/30/2011,8H
4/28/2011,8AO
4/28/2011,8AV
4/27/2011,8H
4/27/2011,8J
4/23/2011,8H
4/20/2011,8H
4/19/2011,8BV
4/18/2011,8H
4/15/2011,8J
4/14/2011,8BO
4/14/2011,8H
4/13/2011,8H
4/10/2011,8H
4/10/2011,8H
4/8/2011,8BV
4/8/2011,8FO
4/8/2011,8H
4/4/2011,8GO
4/4/2011,8FO
4/4/2011,8AO
4/3/2011,8H
4/3/2011,8EO
4/3/2011,8H
4/2/2011,8H
4/1/2011,8FO
3/31/2011,8EO
3/31/2011,8AV
3/31/2011,8H
3/31/2011,8H
3/27/2011,8EO
3/26/2011,8J
3/25/2011,8H
3/25/2011,8AO
3/24/2011,8FO
3/24/2011,8AV
3/24/2011,8AV
3/24/2011,8AV
3/24/2011,8AV
3/23/2011,8H
3/21/2011,8FO
3/21/2011,8H
3/18/2011,8J
3/17/2011,8J
3/16/2011,8J
3/11/2011,8H
3/7/2011,8AV
3/5/2011,8AV
3/4/2011,8H
3/4/2011,8FO
3/4/2011,8FO
3/3/2011,8FO
3/3/2011,8H
3/3/2011,8AO
3/2/2011,8H
3/2/2011,8AO
3/1/2011,8H
2/28/2011,8AO
2/26/2011,8H
2/26/2011,8H
2/26/2011,8H
2/18/2011,8H
2/15/2011,8FO
2/13/2011,8AO
2/13/2011,8FO
2/10/2011,8BO
2/3/2011,8J
2/2/2011,8AO
2/2/2011,8H
1/27/2011,8H
1/24/2011,8H
1/24/2011,8H
1/22/2011,8H
1/20/2011,8H
1/19/2011,8AV
1/14/2011,8H
1/13/2011,8H
1/10/2011,8AO
1/9/2011,8H
1/7/2011,8H
1/6/2011,8FO
1/1/2011,8J
