Year,Month,Purchase Price ($000),MPrime,HPI (USA)
1991,01,138.1,9.52,100
1991,02,145.0,9.05,100.42
1991,03,140.8,9,100.7
1991,04,145.5,9,100.67
1991,05,140.7,8.5,100.84
1991,06,143.7,8.5,101.37
1991,07,144.8,8.5,101.32
1991,08,137.8,8.5,101.26
1991,09,141.4,8.2,101.36
1991,10,144.4,8,101.58
1991,11,133.1,7.58,102.05
1991,12,136.7,7.21,102.16
1992,01,158.0,6.5,102.24
1992,02,142.2,6.5,102.91
1992,03,140.1,6.5,103.02
1992,04,136.3,6.5,102.92
1992,05,141.7,6.5,103.09
1992,06,139.9,6.5,103.42
1992,07,141.7,6.02,103.71
1992,08,141.7,6,104.29
1992,09,138.3,6,104.51
1992,10,147.9,6,104.72
1992,11,138.1,6,104.93
1992,12,135.1,6,104.52
1993,01,129.9,6,104.26
1993,02,143.3,6,103.98
1993,03,135.1,6,104.59
1993,04,139.0,6,105.45
1993,05,129.0,6,105.82
1993,06,136.7,6,106.61
1993,07,138.4,6,106.59
1993,08,139.0,6,107.1
1993,09,134.7,6,107.26
1993,10,140.1,6,107.39
1993,11,139.0,6,107.6
1993,12,134.3,6,107.81
1994,01,133.1,6,107.73
1994,02,136.9,6,107.89
1994,03,131.1,6.06,108.59
1994,04,132.2,6.45,109.16
1994,05,122.1,6.99,109.73
1994,06,125.2,7.25,110.34
1994,07,122.5,7.25,110.41
1994,08,120.0,7.51,110.75
1994,09,120.6,7.75,110.62
1994,10,119.2,7.75,110.7
1994,11,123.1,8.15,110.82
1994,12,107.6,8.5,110.51
1995,01,116.5,8.5,110.5
1995,02,119.8,9,110.97
1995,03,118.1,9,111.25
1995,04,121.3,9,111.74
1995,05,123.7,9,112.12
1995,06,130.9,9,112.93
1995,07,132.4,8.8,113.45
1995,08,131.5,8.75,113.79
1995,09,134.1,8.75,113.72
1995,10,135.9,8.75,113.56
1995,11,137.8,8.75,113.62
1995,12,140.1,8.65,113.77
1996,01,144.6,8.5,113.87
1996,02,140.6,8.25,113.97
1996,03,138.6,8.25,114.81
1996,04,138.2,8.25,115.37
1996,05,139.7,8.25,115.96
1996,06,140.6,8.25,116.48
1996,07,141.0,8.25,116.86
1996,08,141.9,8.25,116.87
1996,09,142.3,8.25,116.81
1996,10,144.7,8.25,116.7
1996,11,145.5,8.25,116.83
1996,12,145.8,8.25,116.84
1997,01,149.2,8.25,116.66
1997,02,145.3,8.25,116.94
1997,03,146.6,8.3,117.9
1997,04,147.1,8.5,118.37
1997,05,150.6,8.5,119.2
1997,06,156.8,8.5,119.63
1997,07,157.1,8.5,119.93
1997,08,157.5,8.5,120.34
1997,09,157.3,8.5,120.15
1997,10,157.1,8.5,120.52
1997,11,158.9,8.5,120.69
1997,12,161.7,8.5,120.74
1998,01,162.7,8.5,120.9
1998,02,163.4,8.5,121.73
1998,03,159.4,8.5,122.63
1998,04,160.6,8.5,123.47
1998,05,166.2,8.5,124.4
1998,06,164.7,8.5,125.6
1998,07,165.9,8.5,125.87
1998,08,163.0,8.5,126.34
1998,09,164.1,8.49,126.8
1998,10,167.8,8.12,127.08
1998,11,163.8,7.89,127.65
1998,12,170.1,7.75,127.85
1999,01,167.4,7.75,128.32
1999,02,172.2,7.75,128.81
1999,03,171.4,7.75,129.88
1999,04,170.0,7.75,130.83
1999,05,171.4,7.75,132.08
1999,06,172.8,7.75,133.14
1999,07,167.8,8,133.83
1999,08,161.2,8.06,134.55
1999,09,159.4,8.25,134.62
1999,10,157.2,8.25,135.15
1999,11,162.6,8.37,135.37
1999,12,162.1,8.5,135.63
2000,01,166.6,8.5,137
2000,02,164.1,8.73,136.75
2000,03,166.9,8.83,138.31
2000,04,163.7,9,139.62
2000,05,166.5,9.24,140.75
2000,06,170.2,9.5,142.17
2000,07,174.0,9.5,142.88
2000,08,176.9,9.5,143.32
2000,09,178.7,9.5,143.94
2000,10,179.1,9.5,144.39
2000,11,185.4,9.5,144.86
2000,12,187.2,9.5,145.29
2001,01,187.5,9.05,145.91
2001,02,192.5,8.5,146.89
2001,03,194.9,8.32,148.19
2001,04,197.0,7.8,149.45
2001,05,201.4,7.24,150.7
2001,06,204.4,6.98,151.94
2001,07,199.5,6.75,152.79
2001,08,198.2,6.67,153.38
2001,09,202.9,6.28,153.91
2001,10,206.0,5.53,154.49
2001,11,210.1,5.1,154.48
2001,12,209.0,4.84,154.99
2002,01,204.7,4.75,155.53
2002,02,204.1,4.75,156.42
2002,03,206.8,4.75,157.98
2002,04,203.5,4.75,159.27
2002,05,207.7,4.75,160.99
2002,06,215.4,4.75,162.56
2002,07,211.1,4.75,163.63
2002,08,215.7,4.75,164.52
2002,09,223.2,4.75,165.26
2002,10,223.1,4.75,166
2002,11,224.3,4.35,166.39
2002,12,219.2,4.25,167.06
2003,01,231.4,4.25,167.6
2003,02,220.5,4.25,168.72
2003,03,222.5,4.25,169.86
2003,04,234.1,4.25,171.43
2003,05,238.3,4.25,173.13
2003,06,241.0,4.22,174.55
2003,07,237.2,4,175.89
2003,08,236.7,4,177.02
2003,09,221.7,4,178.12
2003,10,222.4,4,178.71
2003,11,232.4,4,179.46
2003,12,208.2,4,180.36
2004,01,219.0,4,180.89
2004,02,233.1,4,182.41
2004,03,223.9,4,184.41
2004,04,235.2,4,186.6
2004,05,238.6,4,189.25
2004,06,239.3,4.01,191.82
2004,07,233.5,4.25,193.4
2004,08,231.6,4.43,194.69
2004,09,229.4,4.58,195.78
2004,10,229.0,4.75,196.72
2004,11,244.7,4.93,197.75
2004,12,254.7,5.15,198.73
2005,01,249.7,5.25,199.38
2005,02,256.5,5.49,201.14
2005,03,255.9,5.58,203.99
2005,04,251.0,5.75,206.59
2005,05,257.6,5.98,209.31
2005,06,273.8,6.01,211.86
2005,07,270.4,6.25,213.85
2005,08,273.0,6.44,215.34
2005,09,271.5,6.59,216.71
2005,10,269.3,6.75,217.26
2005,11,273.8,7,217.8
2005,12,273.6,7.15,218.23
2006,01,249.6,7.26,218.72
2006,02,270.6,7.5,219.71
2006,03,277.4,7.53,221.33
2006,04,275.4,7.75,222.79
2006,05,280.3,7.93,224.58
2006,06,287.1,8.02,225.37
2006,07,271.0,8.25,225.09
2006,08,275.5,8.25,225.59
2006,09,280.5,8.25,224.81
2006,10,287.2,8.25,224.4
2006,11,292.8,8.25,224.13
2006,12,287.0,8.25,223.24
2007,01,281.4,8.25,223.07
2007,02,287.1,8.25,223.74
2007,03,290.8,8.25,225.49
2007,04,282.4,8.25,226.67
2007,05,280.4,8.25,226.92
2007,06,292.6,8.25,226.89
2007,07,274.0,8.25,225.63
2007,08,275.3,8.25,224.39
2007,09,275.9,8.03,222.69
2007,10,278.2,7.74,220.31
2007,11,291.3,7.5,217.8
2007,12,286.8,7.33,215.52
2008,01,294.1,6.98,212.8
2008,02,294.4,6,212.09
2008,03,280.2,5.66,210.95
2008,04,302.3,5.24,209.96
2008,05,300.4,5,208.99
2008,06,303.7,5,208.5
2008,07,298.8,5,206.41
2008,08,298.8,5,204.08
2008,09,297.9,5,201.45
2008,10,291.4,4.56,199.28
2008,11,294.1,4,194.88
2008,12,302.7,3.61,193.11
2009,01,294.8,3.25,193.86
2009,02,298.4,3.25,194.65
2009,03,300.2,3.25,192.94
2009,04,302.0,3.25,193.07
2009,05,314.7,3.25,194.41
2009,06,324.2,3.25,195.14
2009,07,312.6,3.25,194.48
2009,08,306.0,3.25,193.82
2009,09,296.3,3.25,192.8
2009,10,291.4,3.25,192.66
2009,11,293.6,3.25,192.49
2009,12,303.9,3.25,189.19
2010,01,309.9,3.25,188.22
2010,02,288.4,3.25,187.83
2010,03,293.0,3.25,188.38
2010,04,302.9,3.25,190.08
2010,05,298.9,3.25,191.77
2010,06,302.4,3.25,190.84
2010,07,310.6,3.25,189.6
2010,08,303.5,3.25,188.85
2010,09,295.8,3.25,186.13
2010,10,311.7,3.25,185.92
2010,11,301.0,3.25,184.54
2010,12,283.2,3.25,181.79
2011,01,281.4,3.25,179.73
2011,02,300.7,3.25,178.22
2011,03,283.3,3.25,177.29
2011,04,268.5,3.25,179.19
2011,05,288.5,3.25,180.46
2011,06,282.1,3.25,182.12
2011,07,273.8,3.25,182.46
2011,08,277.7,3.25,181.26
2011,09,275.3,3.25,181.44
2011,10,271.2,3.25,179.77
2011,11,275.3,3.25,179.93
2011,12,273.4,3.25,179.04
2012,01,295.6,3.25,177.28
2012,02,296.1,3.25,177.68
2012,03,319.7,3.25,180.4
2012,04,324.5,3.25,182.99
2012,05,327.5,3.25,185.88
2012,06,335.9,3.25,187.84
2012,07,329.5,3.25,188.18
2012,08,329.2,3.25,188.54
2012,09,324.6,3.25,188.31
2012,10,327.7,3.25,188.33
2012,11,356.8,3.25,188.57
2012,12,358.0,3.25,188.02
2013,01,333.5,3.25,188.32
2013,02,333.4,3.25,189.58
2013,03,337.6,3.25,192.92
2013,04,333.9,3.25,195.67
2013,05,354.8,3.25,199.18
2013,06,358.5,3.25,201.61
2013,07,348.8,3.25,202.68
2013,08,345.7,3.25,202.29
2013,09,334.8,3.25,202.22
2013,10,333.1,3.25,201.74
2013,11,326.7,3.25,201.2
2013,12,340.7,3.25,200.89
2014,01,338.6,3.25,200.6
2014,02,335.1,3.25,201.62
2014,03,332.4,3.25,204.04
2014,04,339.5,3.25,206.31
2014,05,338.7,3.25,208.61
2014,06,354.9,3.25,211.06
2014,07,348.1,3.25,211.69
2014,08,350.8,3.25,211.37
2014,09,338.7,3.25,210.51
2014,10,346.9,3.25,210.53
2014,11,359.6,3.25,210.78
2014,12,368.5,3.25,210.83
2015,01,366.6,3.25,209.86
2015,02,373.0,3.25,211.84
2015,03,397.4,3.25,214.54
2015,04,397.6,3.25,216.81
2015,05,400.4,3.25,219.99
2015,06,423.4,3.25,222.03
2015,07,397.5,3.25,222.88
2015,08,396.3,3.25,222.17
2015,09,403.6,3.25,222.26
2015,10,408.1,3.25,222.16
2015,11,420.0,3.25,222.71
2015,12,417.0,3.37,222.24
2016,01,410.4,3.5,222.25
2016,02,413.2,3.5,222.98
2016,03,421.9,3.5,226.9
2016,04,417.2,3.5,229.33
2016,05,426.1,3.5,232.14
2016,06,429.5,3.5,234.41
2016,07,417.8,3.5,235.41
2016,08,412.1,3.5,235.42
2016,09,392.9,3.5,235.58
2016,10,402.0,3.5,235.53
2016,11,405.3,3.5,236.09
2016,12,415.1,3.64,236.11
2017,01,394.8,3.75,235.09
2017,02,387.2,3.75,237.29
2017,03,408.1,3.88,241
2017,04,403.9,4,244.33
2017,05,408.8,4,247.03
2017,06,417.3,4.13,248.77
2017,07,412.8,4.25,249.97
2017,08,403.0,4.25,250.78
2017,09,391.6,4.25,250.58
2017,10,402.2,4.25,250.6
2017,11,401.3,4.25,251.41
2017,12,417.4,4.4,251.22
2018,01,388.4,4.5,252.15
2018,02,407.3,4.5,254.83
2018,03,413.6,4.58,257.72
2018,04,410.0,4.75,260
2018,05,423.6,4.75,263.09
2018,06,438.3,4.89,264.81
2018,07,421.0,5,265.61
2018,08,418.4,5,266.28
2018,09,405.6,5.03,265.52
2018,10,412.9,5.25,265.41
2018,11,416.4,5.25,266.11
2018,12,416.6,5.35,265.47
2019,01,397.0,5.5,266.1
2019,02,410.5,5.5,267.95
2019,03,422.5,5.5,270.79
2019,04,434.5,5.5,273.88
